S.N.	topDeadLayer(mm)	pb-210-data/simulation	pb-error	am-241-data/simulation	am-error
1	0.0001	0.912	0.022	0.885	0.02
2	0.00015	0.977	0.024	0.884	0.02
3	0.0002	0.909	0.022	0.885	0.02
4	0.00025	0.9	0.022	0.885	0.02
5	0.0003	0.9	0.023	0.885	0.02
6	0.00035	0.901	0.022	0.884	0.02
7	0.0004	0.93	0.022	0.884	0.02
8	0.00045	0.901	0.022	0.884	0.02
9	0.0005	0.92	0.023	0.886	0.02
13	0.00075	0.903	0.022	0.884	0.02
14	0.001	0.901	0.022	0.886	0.02
15	0.00125	1.05	0.05	0.885	0.02
16	0.0015	0.901	0.022	0.887	0.02
17	0.0012	0.911	0.027	0.886	0.02
18	0.0013	0.904	0.022	0.886	0.02
19	0.00175	0.904	0.022	0.885	0.02
20	0.002	1.07	0.05	0.886	0.02
21	0.005	0.911	0.022	3.63E+02	9.43E+00
22	0.01	1.045	0.025	0.906	0.02
23	0.008	0.922	0.024	0.901	0.02
24	0.009	0.922	0.023	0.894	0.02
25	0.02	0.946	0.023	0.903	0.02
26	0.08	1.07	0.026	1.293	0.029
27	0.06	1.023	0.025	0.945	0.021
28	0.04	0.978	0.024	0.922	0.02
29	0.05	0.99	0.024	0.931	0.021
30	0.055	1.023	0.025	0.937	0.021

